Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9632034632034632
Random Forest,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9415584415584416
XGBoost,0.8688524590163934,0.7941176470588235,0.9642857142857143,0.8709677419354839,0.9621212121212122
Voting Ensemble,0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9502164502164502
